,Country,Minimum annual leave,Paid vacation days by year (five-day workweek)[1][2],Paid public holidays,Total paid leave (five-day workweek)
0,Afghanistan,Employees are entitled to 20 days recreational leave and 15 paid public holidays.[5],20,15,35.0
1,Albania,Employees are entitled to 28 days of annual leave and 12 paid public holidays.[6],28,12,40.0
2,Algeria,"The paid annual leave is calculated on the basis of 2.5 days per month of work. The total duration of the leave cannot, however, exceed 30 calendar days per year.[7] Every employee is also entitled to 11 paid public holidays.[4]",30,11,41.0
3,Andorra,"Workers are entitled to 31 calendar days of paid leave after one year of employment. Before that, entitlement to leave is 2.5 days for every month worked. One period of leave must last two weeks or more, to allow an uninterrupted rest period.[8] Every employee is also entitled to 14 paid public holidays.[9]",31,14,45.0
4,Angola,"The annual leave for workers is 22 days, not including weekends, complementary weekly rest days and holidays in this calculation.[7] Every employee is also entitled to 11 paid public holidays.[10]",22,11,33.0
5,Antigua and Barbuda,The annual leave for an employee who has successfully passed his probationary period is at least one day per month of employment; 12 days per year of work performed. Every employee is also entitled to 11 paid public holidays.[11],12,11,23.0
6,Argentina,"14 calendar days (10 working days, from 0 to 5 years seniority), 21 calendar days (15 working days, from 5 to 10 years), 28 calendar days (20 working days, from 10 to 20 years) and 35 calendar days (25 working days, from 20 years). Employers can decide unilaterally when the leave days are taken. Every employee is also entitled to 15 paid public holidays and every year the government adds a few more holidays known as ""bridge holidays"" which means that a holiday last two days.[11][12]",10,19[13],29.0
7,Armenia,"Generally, the duration of annual leave is 20 working days. Extended annual leave up to 25 working days is granted to certain categories of employees whose work involves great nervous, emotional and intellectual strain and professional risk.[14] Every employee is also entitled to 12 paid public holidays.[15][16]",20,12[17][18],36.0
8,Australia,"For each year of service with their employer, an employee is entitled to a minimum of 4 weeks of paid annual leave, unless the employee is a shift-worker, in which case they are entitled to a minimum of 5 weeks of paid annual leave. Every employee is also entitled to 10 to 13 paid public holidays depending on the state and territory. Long service leave, which varies by jurisdiction, is also available to long-standing employees.[5][19]",20,10,30.0
9,Austria,Employees with fewer than 25 years of service are entitled to 25 days of annual leave. Employees who have been with the same firm for 25 years or more are entitled to 30 days of annual leave. Every employee is also entitled to 13 paid public holidays.[14][20][21][22],25,13,38.0
10,Azerbaijan,"Employees are entitled to a minimum of 21 basic calendar days of annual leave. Skilled employees, experts and senior employees are entitled to 30 basic calendar days of annual leave. Additional 2 days accrue on top of basic vacation every 5 years.[23] Every employee is also entitled to 19 paid public holidays.[24]",21,19,40.0
11,The Bahamas,"14 days after 1 year employment, 21 days after 7 years of employment.[11] Every employee is also entitled to 10 paid public holidays.[25][26]",10,10,20.0
12,Bahrain,"An employee who has been in the service of an employer for at least one year is entitled to a paid annual leave not less than thirty days, with an average of 2.5 days for each month.[27] Every employee is also entitled to 14 paid public holidays.[28][29]",30,14,44.0
13,Bangladesh,"All workers except tea plantation workers are entitled to 10 days of paid casual leave in each calendar year. An adult worker is entitled to: (a) for shop, commercial or industrial establishment, factory, or road transport service industry workers – one day's paid annual leave per 18 days of work; (b) for tea plantation workers – one day's paid annual leave per 22 days of work; and (c) for newspaper workers – one day's paid annual leave per 11 days of work. Every worker is also entitled to 11 paid public holidays.[5][30]",10,11,21.0
14,Barbados,An employee who completes a year of employment with an employer is entitled to – (a) an annual holiday of not less than 3 weeks where he has been in the employment of that employer for less than 5 years; and (b) an annual holiday of not less than 4 weeks where he has been in the service of that employer for 5 years or more.[11],15,,
15,Belarus,The length of basic annual leave is 24 calendar days. Plus 3 calendar days might be granted in addition for long time employment. Every employee is also entitled to 9 paid public holidays.[31],24,9,33.0
16,Belgium,"Before 2012, a worker after one year of full employment is entitled to: 24 working days if they work 6 days per week; and 20 working days if they work 5 days per week. This was challenged by the EU.[32] From June 2012, workers are allowed to take holidays in their first year of employment.[33] Workers are also entitled to 10 paid public holidays.[14][21]",20,10,30.0
17,Belize,"Every employee is entitled to two weeks paid leave after a year of employment. If employment is terminated after three months but before a year, the employee must be paid average vacation pay. Every employee is also entitled to 13 paid public holidays.[11][34]",14,13,27.0
18,Benin,"Unless there are more favorable provisions in collective agreements or employment contracts, the worker acquires the right to leave, to be paid by the employer, at the rate of 2 working days per month of effective service. A working days is every day other than the day of weekly rest period and holidays. Every worker is also entitled to 13 paid public holidays.[7][35]",24,13,37.0
19,Bhutan,,9,,
20,Bolivia,There are different scales of annual leave depending on the seniority of the worker: workers with from 1 to 5 years of service are entitled to 15 working days; from 5 to 10 years: 20 working days; and from 10 years onwards: 30 working days. Every worker is also entitled to 11 paid public holidays.[11],15/20/30,11,26.0
